question,answer
Who does Tron fight for?,YES
Does Tron serve the Users?,YES
Does Tron betray the Users?,NO
Is Tron a security program?,YES
Is Tron against the MCP?,YES
Does Tron like the MCP?,NO
Is Tron the main hero?,YES
Is Tron stronger than MCP?,NO
Does Tron protect the system?,YES
Is Tron weak?,NO
Is MCP the villain?,YES
Does MCP want power?,YES
Does MCP work for the Users?,NO
Is MCP friendly?,NO
Does MCP want to dominate the system?,YES
Does MCP try to control everything?,YES
Is MCP weaker than Tron?,NO
Is MCP a User?,NO
Does MCP like Flynn?,NO
Does MCP destroy programs?,YES
Is Flynn a hacker?,YES
Is Flynn a bad guy?,NO
Does Flynn fight for the Users?,YES
Is Flynn trapped inside the system?,YES
Is Flynn a villain?,NO
Does Flynn help Tron?,YES
Does Flynn work for the MCP?,NO
Is Flynn the one who enters the computer?,YES
Is Flynn the main User?,YES
Does Flynn betray Tron?,NO
Is Alan Tron’s creator?,YES
Is Alan a villain?,NO
Does Alan help Flynn?,YES
Is Alan MCP?,NO
Does Alan fight for the Users?,YES
Is Clu loyal?,NO
Does Clu oppose Tron?,YES
Does Clu serve the Users?,NO
Is Clu a copy of Flynn?,YES
Is Clu good?,NO
Is Clu evil?,YES
Does Clu want power?,YES
Does Tron destroy Clu?,YES
Do you like hamburgers?,NO
Is Bit a dog?,NO
Do you know Harry Potter?,NO
Is the system made of chocolate?,NO
Do you play soccer?,NO
Is 2+2=5?,NO
Are you human?,NO
Do you know Batman?,NO
Is Tron from Star Wars?,NO
Can MCP dance?,NO
Does Tron guard the Users?,YES
Was Tron designed as a watchdog program?,YES
Is Tron loyal to the MCP?,NO
Was Tron deleted by the MCP?,NO
Does Tron resist the MCP?,YES
Is Tron a User?,NO
Does Tron obey Flynn?,YES
Can Tron act outside his code?,NO
Is Tron a villain?,NO
Does Tron help defeat the MCP?,YES
Does Tron know Flynn?,YES
Is Tron digital?,YES
Does Tron live outside the Grid?,NO
Does Tron appear in Tron Legacy?,YES
Is Tron called Rinzler later?,YES
Does MCP steal data?,YES
Is MCP a friendly AI?,NO
Does MCP destroy enemies?,YES
Does MCP serve the Users?,NO
Was MCP created by Dillinger?,YES
Does MCP respect Flynn?,NO
Can MCP be trusted?,NO
Does MCP obey Alan Bradley?,NO
Does MCP want to escape the system?,YES
Is MCP kind?,NO
Does MCP rule Sark?,YES
Was MCP deleted?,YES
Does MCP enslave programs?,YES
Is MCP destroyed by Flynn?,YES
Does MCP live in the Grid?,YES
Is Flynn a User?,YES
Does Flynn hack ENCOM?,YES
Does Flynn defeat MCP?,YES
Does Flynn control Tron?,YES
Is Flynn a villain?,NO
Is Flynn a program?,NO
Was Flynn digitized into the system?,YES
Does Flynn escape the Grid?,YES
Does Flynn protect the Users?,YES
Does Flynn betray Alan?,NO
Is Flynn called Kevin Flynn?,YES
Is Flynn a game developer?,YES
Did Flynn run the arcade?,YES
Does Flynn appear in Tron Legacy?,YES
Is Flynn the father of Sam Flynn?,YES
Does Alan design Tron?,YES
Is Alan a User?,YES
Does Alan support Flynn?,YES
Does Alan serve the MCP?,NO
Was Alan betrayed by Dillinger?,YES
Does Alan control Tron directly?,NO
Does Alan program Clu?,NO
Is Alan a good guy?,YES
Does Alan work at ENCOM?,YES
Does Alan appear in Tron Legacy?,YES
Is Clu a copy of Flynn?,YES
Does Clu obey Flynn?,NO
Does Clu betray the Users?,YES
Is Clu good?,NO
Is Clu the main villain in Tron Legacy?,YES
Does Clu want perfection?,YES
Does Clu destroy programs?,YES
Was Clu originally loyal?,YES
Does Clu fight Tron?,YES
Does Clu serve the MCP?,NO
Does Clu create an army?,YES
Does Clu trap Flynn?,YES
Does Clu hate the Users?,YES
Is Clu a villain?,YES
Does Clu win in the end?,NO
Is Yori a program?,YES
Does Yori help Tron?,YES
Is Sark loyal to MCP?,YES
Does Sark fight Flynn?,YES
Is Sark a User?,NO
Does Sark command other programs?,YES
Is the Grid inside ENCOM?,YES
Does the Grid belong to the MCP?,YES
Are Users creators?,YES
Can programs be Users?,NO
Does Ram help Flynn?,YES
Is Ram a User?,NO
Does Dumont help Tron?,YES
Is Dumont an IO tower guardian?,YES
Does Dillinger steal Flynn’s work?,YES
Is Dillinger the head of ENCOM?,YES
Is Sark Dillinger’s program?,YES
Does Dillinger control MCP?,YES
Does Sam Flynn appear in Tron Legacy?,YES
Is Quorra a program?,YES
Is Bit a pizza?,NO
Do you like ice cream?,NO
Is MCP your dad?,NO
Is Tron a car?,NO
Can Flynn fly an airplane?,NO
Does Sark eat hamburgers?,NO
Do Users drink electricity?,NO
Is the Grid on Mars?,NO
Does Tron play the guitar?,NO
Is MCP in The Matrix?,NO
Do programs eat food?,NO
Is Alan Bradley a dog?,NO
Does Flynn surf the internet?,NO
Is Tron Superman?,NO
Does MCP cook dinner?,NO
Is Sark Batman?,NO
Is Yori a cat?,NO
Does Dillinger eat pizza?,NO
Is the Grid a beach?,NO
Do Users live inside computers?,NO
